,total_passengers,total_passengers,total_passengers,total_passengers,total_passengers,avg_price,avg_price,avg_price,avg_price,avg_price
,mean,median,std,min,max,mean,median,std,min,max
origin_state,,,,,,,,,,
AL,1139.5961002785516,1021.0,766.72069316377,29.0,3928.0,295.0533722445359,295.74730204342274,73.7084086379235,145.27694434842724,565.7618434093162
AR,882.8173913043478,933.0,495.3629465530263,69.0,2105.0,343.40428677588073,341.2454600098358,100.46116754357054,132.9367088607595,609.1509433962265
AZ,3627.706225680934,2050.0,3533.9134431208026,29.0,16072.0,260.1581304501977,252.66924319491926,72.64854698811023,93.95616816693945,546.5127729413445
CA,10310.030534351145,3355.0,19045.701242959763,31.0,126667.0,317.7296367083977,317.31619084865076,116.13353919971304,92.36922988538764,777.3217391304348
CO,3587.3061797752807,1987.0,4051.357367299565,28.0,24316.0,283.21493735332564,267.97547272959025,84.53124047446039,134.41325432807145,687.2571868771475
CT,1614.893909626719,1077.0,1459.6493769680812,124.0,7829.0,328.03543352100365,297.5573071136901,121.38597901283597,108.9784946236559,735.1063261021693
DC,3052.3611111111113,3415.0,1462.2438560118635,154.0,5426.0,251.01351832312696,249.7243955280166,25.2008560728501,206.14745703669297,303.8484848484848
FL,6568.941176470588,2396.0,14119.100903227423,35.0,96090.0,268.6368089421647,256.86878931173356,77.61318222652675,99.88546294859678,589.4804357021997
GA,3782.8367012561444,2221.0,4693.538184071888,28.0,35774.0,304.7422184087088,270.03558704117984,97.04581051377687,100.17703039362232,765.6689564859714
IA,744.1459227467811,668.0,572.3782397195276,88.0,3116.0,291.39296947476913,278.7418316054037,78.98760086090158,120.85542168674698,568.5288358369098
ID,1323.7578347578349,1196.0,848.8972416628098,72.0,4617.0,228.98854224288024,208.10612261274275,75.80250602015387,130.3469387755102,525.62
IL,5045.076377523186,2286.0,6506.807602456524,28.0,46520.0,294.6233997544957,279.5338701745759,88.2834178312333,97.0247151340074,666.7511739488049
IN,1921.9443447037702,1481.0,1376.5092353320667,31.0,6778.0,284.546322982282,278.10166214322464,79.34486852932064,115.06837606837607,585.9998485880838
KY,1159.5435684647302,1031.0,732.1729468749484,127.0,3293.0,276.88192962207614,262.5640460234552,82.39512553859991,117.93064724919095,484.8257076978637
LA,1750.2758620689656,1088.0,1846.90144030894,77.0,10542.0,286.6048799146809,292.3052372989662,63.62082852309735,158.36585621903083,512.4715528851134
MA,4520.310654685494,2447.5,5436.899614711636,32.0,32063.0,323.2570878905089,303.6858810302357,101.51427131476339,113.84810126582278,810.8667800172776
ME,738.1846153846154,237.0,780.7359487269786,91.0,2369.0,252.44850386883022,242.91444585882644,58.0218258615732,118.6987951807229,406.125
MI,3087.856697819315,1857.0,3038.081098856138,94.0,14680.0,314.91820912845003,310.0864300255275,91.68745577940804,113.16286865431107,646.9527787200361
MN,2604.9373088685015,1580.0,2469.235014443512,67.0,10913.0,344.0987018575742,339.3298594973126,93.14441070812835,144.25555555555556,663.8483043017474
MO,2132.5412445730826,1504.0,1953.5375209501835,67.0,10680.0,276.12316719297905,276.3935872037567,66.06708707458719,130.6562889042585,584.5450734573948
MS,669.53125,661.5,309.8387685555183,152.0,1249.0,254.69034278868062,249.7113605442177,66.69112096075595,145.4994249357641,390.4166211044286
MT,455.9056603773585,353.5,360.51184587371614,72.0,1808.0,271.4503986343169,252.32085567470955,78.67599663453184,155.20481927710844,539.5276864128039
NC,2222.2922776148584,1398.0,2650.1356021889205,29.0,21783.0,346.48982372143263,333.8851279959961,95.17894572450491,91.62913767657601,775.8129145361577
ND,624.3055555555555,397.5,483.5452893218967,118.0,1657.0,217.27231445351583,223.5033593933702,36.85721652890894,149.0991519569903,308.1818181818182
NE,1104.2692307692307,1035.0,651.9556912406215,72.0,3018.0,270.27471137643505,267.98320845910325,45.779349463563136,133.37267924528302,380.0529017071721
NH,236.33333333333334,193.0,128.5975634813247,135.0,381.0,230.92099338331573,245.5090909090909,29.78398794709597,196.6551724137931,250.59871682706327
NJ,1007.4144736842105,910.5,661.5532339717865,30.0,2437.0,163.83842645370484,163.1695568626575,37.078987480395845,85.3,226.5178571428571
NM,1451.121212121212,1187.0,1072.5037491745275,82.0,6103.0,280.00004744868795,278.7488573273079,68.35463341644311,131.97776670463173,509.16993516156464
NV,4447.856498194946,2418.0,5722.947023230119,71.0,32032.0,249.0415818749548,243.50176662803426,68.66186015873124,111.7315105162524,452.04472789115647
NY,5658.8364524003255,2133.0,9110.252434677977,30.0,58919.0,332.59161775807524,317.06783459595954,117.6480662532213,134.4998758608073,860.5886166227922
OH,4082.6860321384424,3201.0,3671.263429815981,29.0,17736.0,303.0346456635013,294.2083333333333,95.44195587650849,98.36708860759492,604.2985741664738
OK,902.3617021276596,800.0,627.1421275525173,37.0,2580.0,293.93981240413956,296.8060957177962,60.6797794744337,138.52500313322471,404.0904681057483
OR,2568.169191919192,1792.0,3270.7564640692813,88.0,18736.0,248.5443438507185,221.01238851708553,81.94464655646247,136.50956222242365,557.7159227082085
PA,2371.3603082851637,1692.0,2193.295455003476,36.0,10331.0,340.98090502108437,336.3010173764293,127.43399097455408,90.07291666666669,783.9890185775942
SC,2095.9676113360324,994.0,2756.0626370076047,28.0,15778.0,279.0913893464759,274.6594111816222,75.00979470340475,128.69136588818117,484.74285714285725
SD,82.0,82.0,,82.0,82.0,186.4578313253012,186.4578313253012,,186.4578313253012,186.4578313253012
TN,2344.855311355311,1427.5,2554.874403480315,30.0,17833.0,286.71615709936054,283.20742636948705,80.8667862949619,86.07070707070706,562.9905746229849
TX,6606.790868094701,3583.0,8398.080642098263,28.0,57376.0,310.0440957065647,305.34338144903217,90.09566880932316,149.27621187363835,734.8626794001184
UT,2348.9123505976095,1216.0,2092.5966778829725,31.0,9248.0,285.20287569273773,280.1666666666667,71.0308157891409,160.9368888180272,454.47637496731454
VA,934.8115183246073,845.0,554.5825419778645,28.0,2604.0,330.00743976024745,319.55554769818264,106.42713669054775,162.85114707039838,609.5511851326876
VT,777.3444444444444,772.5,549.1353604257447,116.0,2064.0,248.93791429043583,252.55935208246854,45.03344412452275,169.7226041887032,361.2470995247414
WA,2077.1462450592885,1381.0,2012.4120227136466,119.0,8775.0,268.149102274973,241.6110110353781,107.06774472388321,126.28142393320964,571.4775728528382
WI,1914.092485549133,1635.0,1464.1896379121986,80.0,5994.0,283.04461072050776,275.811837524865,71.06338135072956,133.74683544303795,549.22
WV,158.0,158.0,,158.0,158.0,105.36144578313254,105.36144578313254,,105.36144578313254,105.36144578313254
WY,341.09090909090907,350.5,140.85382801259206,80.0,571.0,504.6711142181543,553.328354978355,109.44489734702057,271.2074657009541,624.6739028475712
